Customer_ID,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Defaulted
CST_000001,40.96714153011233,34.61735698828815,42.47688538100692,51.23029856408026,33.658466252766644,33.6586304305082,51.79212815507391,43.67434729152909,31.305256140650478,41.42560043585965,31.365823071875376,31.34270246429743,38.41962271566034,16.86719755342202,18.75082167486967,30.37712470759027,25.87168879665576,39.142473325952736,26.91975924478789,21.876962986647086,1
CST_000002,54.65648768921554,37.74223699513465,40.67528204687924,25.752518137865437,34.556172754748175,41.10922589709866,28.490064225776976,43.75698018345672,33.99361310081195,37.083062502067236,33.98293387770603,58.52278184508938,39.86502775262066,29.422890710440996,48.225449121031886,27.791563500289776,42.08863595004755,20.403298761202244,26.718139511015693,41.96861235869123,1
CST_000003,57.38466579995411,51.7136828118997,48.843517176117594,46.98896304410711,35.214780096325725,42.801557916052914,45.393612290402125,60.57122226218915,53.43618289568462,32.36959844637266,53.24083969394795,46.149177195836835,43.23077999694041,56.11676288840868,60.30999522495951,59.31280119116199,41.607824767773614,46.907876241487855,53.31263431403564,59.75545127122359,0
CST_000004,40.2082576215471,43.14341023336183,33.93665025993972,33.037933759193294,53.125258223941984,58.56240028570823,44.27989878419666,55.03532897892024,48.61636025047634,38.54880245394876,48.61395605508414,60.38036566465969,44.64173960890049,60.64643655814007,18.802548959102555,53.21902504375224,45.870470682381715,42.009926495341325,45.91760776535502,25.124310853991073,1
CST_000005,47.80328112162488,53.57112571511746,64.77894044741517,44.81729781726352,41.91506397106812,44.982429564154636,59.15402117702074,53.287511096596845,44.70239796232961,55.13267433113356,50.9707754934804,59.68644990532889,42.979469061226474,46.723378534022316,46.078918468678424,35.364850518678814,52.96120277064576,52.610552721798896,50.05113456642461,47.65412866624853,0
CST_000006,28.84629257949586,38.79354677234641,39.572854834732304,34.97722730778381,41.387142883339905,47.040508568145384,61.8618590121053,44.74577812831839,45.57550390722764,42.25554084233833,23.812287847009586,42.73486124550783,43.60230209941027,67.63242112485287,41.076390352188774,46.015473423336125,42.65288230294757,31.313219623804677,54.42822814515021,50.519330326867745,1
CST_000007,43.910319470430466,26.906125452052606,50.02794310936099,21.981489372077192,41.868570938002705,57.90455625809979,26.09463674869312,30.33702270397228,36.99651365087641,30.96524345883801,20.493365689338674,36.68562974806027,25.37696286273895,40.73592430635182,26.80575765766197,51.499344050175395,28.167467076637628,32.77938483794324,44.135172173696695,23.69135683566045,1
CST_000008,52.27459934604129,63.07142754282428,33.92516765438772,51.84633858532304,52.598827942484235,57.8182287177731,37.63049289121918,36.795433869157236,55.21941565616898,52.96984673233186,52.504928503458764,53.46448209496975,43.19975278421509,52.322536971610035,52.93072473298681,42.85648581973632,68.65774511144757,54.73832920911788,38.08696502797351,56.5655360863383,0
CST_000009,40.253183297726785,57.87084603742452,61.58595579007404,41.7931768164829,59.63376129244322,54.12780926936498,58.2206015999449,68.96792982653947,47.54611883997129,42.4626383564251,41.10485570374477,41.841897150345616,49.228982905858956,53.41151974816644,52.766907993300194,58.27183249036024,50.13001891877907,64.53534077157317,47.35343166762044,77.20169166589619,0
CST_000010,56.25667347765006,41.42842443583717,39.29107501938888,54.824724152431855,47.76537214674149,57.14000494092092,54.73237624573545,49.271710873431275,41.532062819315954,34.851527753141355,45.53485047932979,58.56398794323472,52.14093744130204,37.542612212880115,51.73180925851182,53.85317379728837,41.16142563798867,51.53725105945528,50.58208718446,38.57029702169377,0
